created_at,field1(温度 ºC ),field2(湿度),field3(电压),field4(信号强度(WiFi)),field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2026-07-25T12:02:43+08:00,21.2081,44.0589,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T12:12:43+08:00,21.2081,44.0253,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T12:17:00+08:00,,,,-39,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T12:22:43+08:00,21.1494,44.2008,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T12:32:43+08:00,21.1334,44.3091,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T12:42:43+08:00,21.2215,44.1718,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T12:44:06+08:00,,,4.0219,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T12:47:01+08:00,,,,-39,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T12:52:43+08:00,21.1334,44.1627,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T13:02:43+08:00,21.12,44.1962,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T13:12:43+08:00,21.1627,44.094,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T13:17:01+08:00,,,,-37,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T13:22:44+08:00,21.1788,44.1444,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T13:32:44+08:00,21.1627,44.2512,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T13:42:44+08:00,21.1921,44.2679,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T13:44:05+08:00,,,4.0219,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T13:47:01+08:00,,,,-35,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T13:52:44+08:00,21.1921,44.3519,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T14:02:44+08:00,21.1921,44.3778,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T14:12:44+08:00,21.2081,44.4419,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T14:17:01+08:00,,,,-36,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T14:22:44+08:00,21.2081,44.5151,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T14:32:45+08:00,21.2482,44.5197,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-25T14:42:45+08:00,21.2642,44.361,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
