created_at,field1(温度 ºC ),field2(湿度),field3(电压),field4(信号强度(WiFi)),field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2026-07-28T12:04:19+08:00,21.1494,46.2745,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T12:14:19+08:00,21.1494,46.4073,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T12:17:35+08:00,,,,-40,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T12:24:18+08:00,21.1067,46.5126,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T12:34:18+08:00,21.0639,46.6316,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T12:44:18+08:00,21.1067,46.5629,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T12:44:24+08:00,,,4.0034,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T12:47:34+08:00,,,,-42,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T12:54:18+08:00,21.0639,46.5568,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T13:04:18+08:00,21.0506,46.7765,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T13:14:18+08:00,21.0372,46.6773,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T13:17:35+08:00,,,,-43,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T13:24:19+08:00,21.0773,46.6072,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T13:34:19+08:00,21.0639,46.7903,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T13:44:19+08:00,21.0506,46.7033,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T13:44:24+08:00,,,4.0034,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T13:47:35+08:00,,,,-42,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T13:54:19+08:00,21.0372,46.9459,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T14:04:19+08:00,21.0506,47.0573,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T14:14:19+08:00,21.0372,47.1061,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T14:17:34+08:00,,,,-43,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T14:24:18+08:00,21.0079,47.126,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T14:34:18+08:00,21.0212,47.3228,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T14:44:19+08:00,21.0079,47.3228,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T14:44:24+08:00,,,4.0034,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T14:47:34+08:00,,,,-42,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T14:54:19+08:00,21.0079,47.3487,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T15:04:19+08:00,21.12,47.0924,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T15:14:19+08:00,21.2909,46.6957,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T15:17:35+08:00,,,,-38,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T15:24:19+08:00,21.3897,46.305,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T15:34:20+08:00,21.4458,46.3615,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T15:44:21+08:00,21.5019,46.2089,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T15:44:25+08:00,,,4.0034,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T15:47:36+08:00,,,,-39,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T15:54:22+08:00,21.5286,46.0533,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T16:04:23+08:00,21.5713,45.6275,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T16:14:24+08:00,21.5446,45.7969,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T16:17:37+08:00,,,,-44,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T16:24:25+08:00,21.5846,45.6184,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T16:34:25+08:00,21.614,45.4261,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T16:44:25+08:00,21.6834,45.1759,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T16:45:08+08:00,,,4.0034,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T16:47:36+08:00,,,,-42,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T16:54:24+08:00,21.7556,44.95,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T17:04:24+08:00,21.8116,44.9332,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T17:14:24+08:00,21.8544,44.7166,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T17:17:37+08:00,,,,-45,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-28T17:24:25+08:00,21.8544,45.2338,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
