created_at,field1(温度 ºC ),field2(湿度),field3(电压),field4(信号强度(WiFi)),field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2026-08-06T11:53:03+08:00,,,,-37,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T11:50:26+08:00,21.3603,47.6753,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T11:46:35+08:00,,,3.9553,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T11:40:25+08:00,21.2909,47.5563,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T11:30:25+08:00,21.347,47.4174,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T11:23:03+08:00,,,,-37,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T11:20:26+08:00,21.3203,47.6204,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T11:10:26+08:00,21.3764,47.335,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T11:00:26+08:00,21.4164,46.9932,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T10:53:02+08:00,,,,-36,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T10:50:25+08:00,21.4458,46.6438,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T10:46:35+08:00,,,3.959,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T10:40:26+08:00,21.4324,46.2974,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T10:30:26+08:00,21.4164,45.8793,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-06T10:23:01+08:00,,,,-34,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
